Engine,StepsSinceLastRepair,MinutesAboveTemperatureSlope,Route,CurrentAcumulatedTime,CurrentCity,MinutesAboveTemperatureIntercept
700101,2048,4.1043399391581437,MEX@SJD@CUU@VER,12820.779599999996,VER,-979.84713846491513
700102,2285,0.9396135350754965,GDL@VER@CJS@CUL,7417.8347,GDL,-100.4502800234045
700103,2146,0.0,MEX@SJD@CUU@VER,0,SJD,0.0
700104,2266,1.5551837467085334,MTY@TGZ@CUL@SJD@CUU,9209.36225,MTY,-242.20485532981888
700105,2146,0.1119829249646269,TLC@PVR@VER@TIJ@HMO@CUU,1921.41735,TIJ,-49.963858813384974
700106,2266,4.0608005857496705,CUN@TGZ@MZT@MID@TIJ,15092.307149999999,CUN,-600.82511771618647
700107,2290,0.84978656837813826,MEX@PVR@VER@SJD@VSA@CJS@HMO@TAM@ACA,5772.36225,SJD,-391.73804270209894
700108,2266,4.1528106405371021,GDL@TAM@TGZ@MEX@MZT@CUN@TIJ@CUL,15208.724499999998,TAM,-594.74733219652717
700109,2146,0.0,GDL@VSA@HMO@TGZ@CUU@MZT@MTY@CUL,0,VSA,0.0
700110,2146,0.0,MTY@TGZ@CUL@SJD@CUU,0,MTY,0.0
700111,2266,5.0313581656411506,CUN@TGZ@MID@CJS,16421.141849999993,TGZ,-905.99780239990196
700112,2146,0.00018852355445253012,GDL@HMO@SJD@TAM@TLC@BJX,57.0,TAM,-0.12582889747068837
700113,2146,0.0,TLC@TGZ@VSA@SJD@BJX@CJS,0,SJD,0.0
700114,2146,0.0,MTY@TAM@HMO@BJX,0,TAM,0.0
700115,2146,0.0017124895663238431,MEX@CUN@TLC@CUU@MID@MTY@PVR@TIJ,199.0,CUN,-1.0547507219149008
700116,2146,0.0,GDL@TAM@TGZ@MEX@MZT@CUN@TIJ@CUL,0,TAM,0.0
700117,2266,2.7350259929450376,GDL@TAM@TGZ@MEX@MZT@CUN@TIJ@CUL,11921.252049999997,TAM,-607.12677515021596
700118,2110,0.0,CUN@MTY@CUU@GDL@TIJ@MZT@MEX@SJD,0,MZT,0.0
700119,2146,0.0,CUN@VSA@MTY@CUU@PVR,0,CUN,0.0
700120,2146,0.0,GDL@VER@CJS@CUL,0,VER,0.0
700121,2146,0.0,MTY@VER@MID@TGZ@MEX@TAM,0,TGZ,0.0
700122,2134,2.6051323513539399,CUN@TGZ@MZT@MID@TIJ,11483.724499999998,MID,-281.75491882433062
700123,2146,0.0002328688059516675,MEX@CUN@TLC@CUU@MID@MTY@PVR@TIJ,69.0,CUN,-0.15522953414744461
700124,2146,0.0,CUN@TGZ@MZT@MID@TIJ,0,CUN,0.0
700125,2146,0.0,TLC@MTY@TAM@TIJ@GDL,0,TLC,0.0
700126,1978,0.0,MEX@SJD@CUU@VER,0,SJD,0.0
700127,2146,0.0,CUN@TGZ@MZT@MID@TIJ,0,CUN,0.0
700128,2146,0.015484082105760249,CUN@MTY@CUU@GDL@TIJ@MZT@MEX@SJD,655.47245,MTY,-8.5902913582220037
700129,2266,1.6193286918293479,CUN@VSA@MTY@CUU@PVR,9523.25205,CUN,-244.75829956450548
700130,2266,1.6301285492486861,GDL@HMO@SJD@TAM@TLC@BJX,9496.8347,TAM,-265.60259212657616
700131,2110,0.0,GDL@TAM@TGZ@MEX@MZT@CUN@TIJ@CUL,0,CUN,0.0
700132,2266,1.6042869500176375,GDL@VSA@HMO@TGZ@CUU@MZT@MTY@CUL,9432.36225,VSA,-251.42948425960822
700133,2146,2.5265175330450007,MEX@CUN@TLC@CUU@MID@MTY@PVR@TIJ,11543.30715,CUN,-217.42171458898656
700134,2146,1.4700029476344358,TLC@PVR@VER@TIJ@HMO@CUU,8904.25205,TIJ,-96.814772532029338
700135,2146,0.0,GDL@VER@CJS@CUL,0,VER,0.0
700136,2146,0.0,MEX@SJD@CUU@VER,0,SJD,0.0
700137,2146,0.0,MTY@TAM@HMO@BJX,0,TAM,0.0
700138,2146,0.0,MEX@PVR@VER@SJD@VSA@CJS@HMO@TAM@ACA,0,SJD,0.0
700139,2146,0.0,TLC@PVR@VER@TIJ@HMO@CUU,0,TIJ,0.0
700140,2262,0.049635900713034531,CUN@TGZ@MID@CJS,1415.9449,TGZ,-19.516835108476549
700141,2146,0.0,MEX@MTY@BJX@TGZ@VSA@VER@TLC@CUU@SJD,0,TGZ,0.0
700142,1978,2.2028429959443039,CUN@TGZ@MZT@MID@TIJ,10237.196950000001,MZT,-48.408163833630169
700143,2146,0.0,MEX@MTY@BJX@TGZ@VSA@VER@TLC@CUU@SJD,0,TGZ,0.0
700144,2134,2.7633531940245546,GDL@VER@CJS@CUL,12143.196949999998,VER,-205.62532778509876
700145,2146,0.0,GDL@VER@CJS@CUL,0,VER,0.0
700146,2290,2.0194613874443834,MEX@CUN@TLC@CUU@MID@MTY@PVR@TIJ,9419.779600000002,CUN,-778.72779002180869
700147,1978,4.7713363865256895,CUN@TGZ@MID@CJS,14734.8347,TGZ,-364.01523796839319
700148,2290,1.2444581739049885,GDL@TAM@TGZ@MEX@MZT@CUN@TIJ@CUL,8422.834700000001,TAM,-192.64206866686482
700149,2146,0.00043633217848349084,GDL@VSA@HMO@TGZ@CUU@MZT@MTY@CUL,95.0,VSA,-0.29009584942420757
700150,2146,0.0,MEX@SJD@CUU@VER,0,SJD,0.0
700151,1978,0.77356128392128876,MTY@TAM@HMO@BJX,5771.417350000001,TAM,-81.544074618589548
700152,2146,0.0,MEX@SJD@CUU@VER,0,SJD,0.0
700153,2266,2.6927175694866055,GDL@VER@CJS@CUL,11803.196949999996,VER,-582.83118245349033
700154,2262,0.44910285826161783,CUN@TGZ@MZT@MID@TIJ,4729.9449,TGZ,-108.98643057093528
700155,2266,1.5804992370363207,GDL@TAM@TGZ@MEX@MZT@CUN@TIJ@CUL,9303.252050000001,TAM,-263.24307776965657
700156,2146,0.0,CUN@MTY@CUU@GDL@TIJ@MZT@MEX@SJD,0,MTY,0.0
700157,2146,0.0,CUN@TGZ@MID@CJS,0,TGZ,0.0
700158,2146,0.0,MTY@TAM@HMO@BJX,0,TAM,0.0
700159,2146,0.0,MTY@TGZ@CUL@SJD@CUU,0,MTY,0.0
700160,2146,0.0,MEX@HMO@BJX@CJS@MTY@TAM@ACA@TGZ@MID,0,CJS,0.0
700161,2146,2.5401065987340443,GDL@VSA@HMO@TGZ@CUU@MZT@MTY@CUL,11613.7796,VSA,-217.3060048705338
700162,2146,0.10868000040653766,TLC@TGZ@VSA@SJD@BJX@CJS,1867.9449,SJD,-48.512548175142655
700163,2146,0.0,TLC@PVR@VER@TIJ@HMO@CUU,0,TIJ,0.0
700164,2285,1.4770371260436697,CUN@VSA@MTY@CUU@PVR,9094.7245,PVR,-223.62353202590839
700165,2146,0.0,GDL@HMO@SJD@TAM@TLC@BJX,0,TAM,0.0
700166,1978,3.2730712986664003,MTY@TAM@HMO@BJX,12143.25205,TAM,-268.08828825562659
700167,2146,0.0,TLC@TGZ@VSA@SJD@BJX@CJS,0,SJD,0.0
700168,2285,2.0459348488338249,MTY@VER@MID@TGZ@MEX@TAM,11222.252050000001,MEX,-185.5778523364279
700169,2146,0.0,CUN@MTY@CUU@GDL@TIJ@MZT@MEX@SJD,0,MTY,0.0
700170,2262,0.0,CUN@TGZ@MID@CJS,0,TGZ,0.0
700171,2146,0.0,MEX@PVR@VER@SJD@VSA@CJS@HMO@TAM@ACA,0,SJD,0.0
700172,2146,0.0,MEX@SJD@GDL@TAM@CUU@TGZ,0,TAM,0.0
700173,1978,1.6622035661437469,MEX@SJD@GDL@TAM@CUU@TGZ,8732.834700000001,TAM,-98.386140320312961
700174,2266,1.627320048218748,GDL@VSA@HMO@TGZ@CUU@MZT@MTY@CUL,9560.9449,VSA,-256.22386875987672
700175,2146,0.0,GDL@HMO@SJD@TAM@TLC@BJX,0,TAM,0.0
700176,2266,1.6030004306539043,CUN@MTY@CUU@GDL@TIJ@MZT@MEX@SJD,9350.25205,MTY,-243.87137729069696
700177,2266,2.0858400114673743,MEX@SJD@GDL@TAM@CUU@TGZ,10677.7245,TAM,-330.17220946052589
700178,2146,0.16722855638192755,GDL@HMO@SJD@TAM@TLC@BJX,2245.0,TAM,-84.733210694777952
700179,2146,0.0,MTY@TGZ@CUL@SJD@CUU,0,MTY,0.0
700180,2134,0.017600500874579993,TLC@TGZ@VSA@SJD@BJX@CJS,730.0,SJD,-9.7862979587277188
700181,2146,0.0,MEX@SJD@GDL@TAM@CUU@TGZ,0,TAM,0.0
700182,1978,0.0,MEX@CUN@TLC@CUU@MID@MTY@PVR@TIJ,0,CUN,0.0
700183,2146,0.0,TLC@PVR@VER@TIJ@HMO@CUU,0,TIJ,0.0
700184,2110,0.0,CUN@TGZ@MID@CJS,0,TGZ,0.0
700185,2146,0.0,GDL@TAM@TGZ@MEX@MZT@CUN@TIJ@CUL,0,TAM,0.0
700186,2110,0.0,MTY@VER@MID@TGZ@MEX@TAM,0,TGZ,0.0
700187,2146,0.016108583137661881,MEX@SJD@GDL@TAM@CUU@TGZ,665.0,TAM,-8.882644904846396
700188,2146,0.0,MEX@CUN@TLC@CUU@MID@MTY@PVR@TIJ,0,CUN,0.0
700189,2146,0.56518006094739326,GDL@VSA@HMO@TGZ@CUU@MZT@MTY@CUL,4279.47245,VSA,-248.95862448746198
700190,2146,0.0,MEX@CUN@TLC@CUU@MID@MTY@PVR@TIJ,0,CUN,0.0
700191,2146,0.11673333430281449,GDL@VER@CJS@CUL,1951.0,VER,-51.42596327801553
700192,2266,3.1658776748447188,MTY@TGZ@CUL@SJD@CUU,12947.724499999997,MTY,-629.19863027897827
700193,2254,0.0,TLC@TGZ@VSA@SJD@BJX@CJS,0,SJD,0.0
700194,2146,0.0,MEX@SJD@GDL@TAM@CUU@TGZ,0,TAM,0.0
700195,2146,0.0,MEX@SJD@GDL@TAM@CUU@TGZ,0,TAM,0.0
700196,2146,0.0,GDL@HMO@SJD@TAM@TLC@BJX,0,TAM,0.0
700197,2110,0.0,CUN@MTY@CUU@GDL@TIJ@MZT@MEX@SJD,0,MZT,0.0
700200,2326,1.032436597530801,MEX@SJD@GDL@TAM@CUU@TGZ,7861.417350000001,TAM,-160.10240537993423
700201,2326,1.0476163552774882,MEX@SJD@GDL@TAM@CUU@TGZ,8002.362250000001,TAM,-140.38231798341781
